CountryCode,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012
HKG,3045605,3075605,3504600,3802700,4123600,4518000,5063100,5397900,5627600,6035400,6543700,6744100,6857100,7024200
HUN,9983967,10119835,10255815,10398489,10598677,10711122,10668095,10596487,10369341,10311238,10210971,10107146,10038188,9920362
ISL,175574,188983,201488,209137,220154,228138,239511,249740,261057,268916,281205,292074,317414,320716
IND,449480608,487484535,529967317,579411513,635771734,696783517,764245202,834489322,906021106,978893217,1053050912,1126135777,1197146906,1263065852
INA,87792515,97638029,108821564,121059513,134010690,147490365,161555583,175000916,187766086,199914831,211540429,223614649,236159276,248883232
IRI,21706903,21906903,24308085,27032943,30074298,33737768,38668220,45474708,53075618,59725125,63900630,67983330,71227880,74567511
IRQ,7289761,8122199,9260682,10599845,12068168,13653356,15205501,16651807,18458187,20845893,23565413,26316609,29111417,32776571
IRL,2828600,2866550,2915550,3036850,3238050,3412800,3532423,3524949,3558430,3637510,3805174,4070262,4489544,4586897
ISR,2114020,2475000,2803000,3148000,3533000,3878000,4159000,4442000,5123000,5692000,6289000,6809000,7308800,7910500
ITA,50199700,51675350,53235750,54381345,55718260,56433883,56576718,56629288,56797087,56860281,56942108,57685327,58826731,59539717
JAM,1628252,1730486,1825633,1934828,2055085,2163045,2308947,2393534,2465362,2561993,2656864,2728777,2790122,2840992
JPN,92500572,97826000,101061000,107188000,112771000,116782000,120018000,122613000,124229000,125757000,126843000,127761000,128063000,127629000
KAZ,9714260,11267329,12341412,13176584,13920105,14518924,15214051,15982510,16439095,15577894,14883626,15012985,15674000,16791425
KEN,8105440,9200157,10502245,12083188,13996704,16268990,18937738,21871442,24963953,28147734,31450483,35074931,39148416,43646629
PRK,11224176,11424176,12282419,13609982,15207771,16554746,17472140,18590138,19708323,21577982,22537336,23336681,24061097,24591599
KOR,22012374,25012374,27984155,30838302,33505406,35848523,38123775,40405956,42031247,44641540,46286503,47644736,48438292,49554112
KUW,269618,425235,634897,854604,1089209,1372318,1655833,2038885,,1631740,2050741,2207939,2652340,3395556
KGZ,2172300,2495300,2818300,3088200,3358700,3617400,3916400,4218400,4515400,4628400,4898400,5104700,5318700,5607200
LAT,2120979,2240623,2323619,2395674,2470989,2511701,2562047,2653434,2614338,2457222,2367550,2263122,2177322,2034319
LIB,1804926,2041207,2210959,2416735,2598354,2605293,2667220,2668585,2821862,3070960,3235366,3863267,4111047,4916404
LTU,2778550,2935200,3078850,3213622,3328664,3413202,3514205,3655049,3700114,3601613,3499536,3377075,3198231,2987773
LUX,313970,327750,335850,346600,360731,364150,365998,373450,392175,414225,436300,458095,488650,530946
MKD,,1488667,1569141,1672399,1754956,1825552,1924197,1974415,1995513,1981703,2012057,2048928,2063145,2070739
MAS,8157106,9253963,10297801,11324251,12468893,13798125,15191625,17027588,19012724,21023321,23185608,25174109,27111069,29170456
MRI,659351,736381,798413,852053,906507,966039,1012221,1043239,1084441,1133996,1186873,1221003,1244121,1255882
MEX,38174112,43264272,48894019,55478151,62623763,69360871,75780605,82083919,88828310,95687452,101719673,106995583,113661809,120828307
MDA,2544000,2774000,2960000,3131000,3284000,3396000,3536000,3660000,3706000,3667748,3639592,3603945,3570108,3559519
MGL,955505,1074514,1207104,1356670,1520865,1689622,1871090,2089714,2243502,2316567,2397436,2496832,2628131,2814226
MNE,462894,471894,480915,489936,498957,507978,516999,526020,535041,553083,571125,589167,607209,625251
MAR,12328532,13857142,15302947,16695003,18210754,20019847,22037610,23961820,25791494,27460603,28849621,30179285,31596855,33333789
MOZ,7388695,8030025,8756481,9595762,10632932,11848331,12853780,13002553,14071231,16248232,18067687,20312705,22846758,25676606
NAM,602544,665282,737886,829441,927503,1012672,1111132,1302741,1513721,1706489,1899257,2009228,2106375,2263934
NED,11486631,12127120,12729721,13328593,13774037,14149800,14424211,14760094,15184166,15530498,15925513,16281779,16445593,16754962
AHO,11486631,12127120,12729721,13328593,13774037,14149800,14424211,14760094,15184166,15530498,15925513,16281779,16445593,16754962
NZL,2371800,2585400,2748100,2903900,3110500,3112900,3227100,3283400,3531700,3732000,3857700,4087500,4259800,4408100
NIG,3388764,3802640,4263745,4768078,5334918,5988904,6720344,7540253,8549424,9819964,11352973,13127012,15228525,17731634
NGR,45137812,49066059,53505978,58662603,65226229,73460724,81497739,90450281,100221563,110732904,122352009,135393616,150347390,167297284
NOR,3581239,3694339,3816486,3933004,4026152,4085620,4140099,4209488,4286401,4381336,4490967,4591910,4768212,5018573
PAK,44908293,49551904,55042397,61338261,68813220,78068144,89228949,101474835,113747135,125938339,138523285,150780300,163644603,177911533
PAN,1132921,1276276,1434657,1607834,1791453,1978578,2170409,2368618,2576018,2796344,3030347,3269541,3516268,3772938
PAR,1902875,2114095,2350901,2596739,2861581,3180630,3567752,3994331,4432736,4870694,5302700,5703740,6047117,6379219
PER,10061515,11281015,12629329,14072476,15639901,17359120,19099584,20909895,22737056,24441074,25914879,27273194,28641980,30158966
PHI,26273025,29962876,33797042,37925400,42461193,47396968,52873974,58845205,65075486,71446107,77991569,84678493,90751864,96866642
POL,29637450,31139450,32294655,33055650,34356300,35574150,36904134,37824487,38363667,38624370,38258629,38182222,38125759,38063164
POR,8857716,9035365,8836650,8630430,9355810,9766312,9996232,10019610,9952494,10063945,10289898,10483861,10558177,10514844
PUR,2358000,2554066,2662064,2817256,3043854,3206000,3344190,3473898,3585176,3724655,3810605,3826878,3760866,3634488
QAT,47384,67567,93201,130534,173836,223775,341455,443794,495517,522304,592267,758855,1389342,2109568
ROU,18406905,18919126,19799831,20657957,21551634,22242653,22655940,23057662,22794284,22619004,22442971,21451748,20537875,20058035
RUS,119897000,125345000,128928000,131909000,135147000,139010000,142745000,146857000,148689000,148160042,146596557,144067054,142742350,143201676
RU1,,,,,,,,,,,,,,
